image_id,class_id,point1_x,point1_y,point2_x,point2_y,detection_point1_x,detection_point1_y,detection_point2_x,detection_point2_y,context_roi_point1_x,context_roi_point1_y,context_roi_point2_x,context_roi_point2_y
0,0,0.384,0.22795341098169716,0.843,0.7420965058236273,0.4113884406104576,0.3334648933344987,0.664577669540137,0.59363727930696,-1,-1,-1,-1
0,1,0.384,0.22795341098169716,0.843,0.7420965058236273,0.42047387392345853,0.259847775588963,0.7816114139655507,0.7374148869473429,0.384,0.22795341098169716,0.843,0.7420965058236273
0,2,0.384,0.22795341098169716,0.843,0.7420965058236273,0.3548416721537293,0.16666994078434272,0.7598832139308105,0.6377039267561316,0.3548416721537293,0.16666994078434272,0.843,0.7420965058236273
0,3,0.384,0.22795341098169716,0.843,0.7420965058236273,0.3925802394547408,0.2640833633081433,0.7664768412293175,0.6586810061114996,0.384,0.22795341098169716,0.843,0.7420965058236273
0,4,0.384,0.22795341098169716,0.843,0.7420965058236273,0.5612055749903051,0.2331624909235155,0.737197008103348,0.7719877837241824,-1,-1,-1,-1
1,0,0.269,0.3826955074875208,0.637,0.8735440931780366,0.42263986455370994,0.47130087033401463,0.594681496210897,0.7836339428584875,-1,-1,-1,-1
1,1,0.269,0.3826955074875208,0.637,0.8735440931780366,0.2759867750008079,0.38534422462450246,0.5528532262918497,0.8130521528076592,0.269,0.3826955074875208,0.637,0.8735440931780366
1,2,0.269,0.3826955074875208,0.637,0.8735440931780366,0.24631863961915074,0.3662734171199306,0.563957711410128,0.7435876317771084,0.24631863961915074,0.3662734171199306,0.637,0.8735440931780366
1,3,0.269,0.3826955074875208,0.637,0.8735440931780366,0.2852582487719752,0.3791783081684999,0.5292003043804938,0.8061907927468803,0.269,0.3791783081684999,0.637,0.8735440931780366
1,4,0.269,0.3826955074875208,0.637,0.8735440931780366,0.2821113089371122,0.37191557104534206,0.526228832730093,0.8284649479614888,0.269,0.37191557104534206,0.637,0.8735440931780366
2,0,0.404,0.20632279534109818,0.727,0.7454242928452579,0.382943596193931,0.2582570796579174,0.7100428016133984,0.7892985516283886,0.382943596193931,0.20632279534109818,0.727,0.7892985516283886
2,1,0.404,0.20632279534109818,0.727,0.7454242928452579,0.3935668377250032,0.3081036566046552,0.719419556295243,0.5966064663228808,0.3935668377250032,0.20632279534109818,0.727,0.7454242928452579
2,2,0.404,0.20632279534109818,0.727,0.7454242928452579,0.4304689330423507,0.31611262992819494,0.674189097139187,0.6273117722004088,-1,-1,-1,-1
2,3,0.404,0.20632279534109818,0.727,0.7454242928452579,0.41827752351021197,0.24289512962564544,0.6913028626308816,0.7513467654098537,0.404,0.20632279534109818,0.727,0.7513467654098537
2,4,0.404,0.20632279534109818,0.727,0.7454242928452579,0.39761166340809206,0.2662524224969073,0.7006934401661065,0.6139469113899796,0.39761166340809206,0.20632279534109818,0.727,0.7454242928452579
3,0,0.272,0.09650582362728785,0.729,0.870216306156406,0.5819643448649172,0.35882786342075895,0.8064573301770941,0.8080453790608864,-1,-1,-1,-1
3,1,0.272,0.09650582362728785,0.729,0.870216306156406,0.44265478818591647,0.3163881022835763,0.6950359798143421,0.7952128687742039,-1,-1,-1,-1
3,2,0.272,0.09650582362728785,0.729,0.870216306156406,0.42788428037341647,0.46078969197100905,0.6974398939414749,0.8461541128240642,-1,-1,-1,-1
3,3,0.272,0.09650582362728785,0.729,0.870216306156406,0.46652300577252453,0.2413660728992981,0.6737443673450426,0.8430254570178034,-1,-1,-1,-1
3,4,0.272,0.09650582362728785,0.729,0.870216306156406,0.3247108183331179,0.27338124470538405,0.6730912848613625,0.6499920055501022,-1,-1,-1,-1
4,0,0.331,0.10815307820299501,0.824,0.8885191347753744,0.4442258280583473,0.28078953124159584,0.6306955205370993,0.6502235924725689,-1,-1,-1,-1
4,1,0.331,0.10815307820299501,0.824,0.8885191347753744,0.530905249200168,0.3263660371816507,0.7716128833538004,0.8006814506911575,-1,-1,-1,-1
4,2,0.331,0.10815307820299501,0.824,0.8885191347753744,0.5522554983397427,0.39709165379430666,0.8168446048708958,0.8337794187352087,-1,-1,-1,-1
4,3,0.331,0.10815307820299501,0.824,0.8885191347753744,0.5144663734791074,0.3245643445013312,0.7454828303750323,0.7801702765302281,-1,-1,-1,-1
4,4,0.331,0.10815307820299501,0.824,0.8885191347753744,0.3796288254588935,0.30738255407231607,0.7798773086058687,0.6221275132617524,-1,-1,-1,-1
5,0,0.406,0.22296173044925124,0.738,0.8618968386023295,0.4109228818591649,0.29858387932309594,0.646893758685044,0.8663532828299806,0.406,0.22296173044925124,0.738,0.8663532828299805
5,1,0.406,0.22296173044925124,0.738,0.8618968386023295,0.4412171798753393,0.3630654996520681,0.6757067706986815,0.6829073408589716,-1,-1,-1,-1
