id,unique_path
0,./data/supermarket_dataset_real_scene/Beverages/Beverages_0000.png
1,./data/supermarket_dataset_real_scene/Beverages/Beverages_0001.png
2,./data/supermarket_dataset_real_scene/Beverages/Beverages_0002.png
3,./data/supermarket_dataset_real_scene/Beverages/Beverages_0003.png
4,./data/supermarket_dataset_real_scene/Beverages/Beverages_0004.png
5,./data/supermarket_dataset_real_scene/Beverages/Beverages_0005.png
6,./data/supermarket_dataset_real_scene/Beverages/Beverages_0006.png
7,./data/supermarket_dataset_real_scene/Beverages/Beverages_0007.png
8,./data/supermarket_dataset_real_scene/Beverages/Beverages_0008.png
9,./data/supermarket_dataset_real_scene/Beverages/Beverages_0009.png
10,./data/supermarket_dataset_real_scene/Beverages/Beverages_0010.png
11,./data/supermarket_dataset_real_scene/Beverages/Beverages_0011.png
12,./data/supermarket_dataset_real_scene/Beverages/Beverages_0012.png
13,./data/supermarket_dataset_real_scene/Beverages/Beverages_0013.png
14,./data/supermarket_dataset_real_scene/Beverages/Beverages_0014.png
15,./data/supermarket_dataset_real_scene/Beverages/Beverages_0015.png
16,./data/supermarket_dataset_real_scene/Beverages/Beverages_0016.png
17,./data/supermarket_dataset_real_scene/Beverages/Beverages_0017.png
18,./data/supermarket_dataset_real_scene/Beverages/Beverages_0018.png
19,./data/supermarket_dataset_real_scene/Beverages/Beverages_0019.png
20,./data/supermarket_dataset_real_scene/Beverages/Beverages_0020.png
21,./data/supermarket_dataset_real_scene/Beverages/Beverages_0021.png
22,./data/supermarket_dataset_real_scene/Beverages/Beverages_0022.png
23,./data/supermarket_dataset_real_scene/Beverages/Beverages_0023.png
24,./data/supermarket_dataset_real_scene/Beverages/Beverages_0024.png
25,./data/supermarket_dataset_real_scene/Beverages/Beverages_0025.png
26,./data/supermarket_dataset_real_scene/Beverages/Beverages_0026.png
27,./data/supermarket_dataset_real_scene/Beverages/Beverages_0027.png
28,./data/supermarket_dataset_real_scene/Beverages/Beverages_0028.png
29,./data/supermarket_dataset_real_scene/Beverages/Beverages_0029.png
30,./data/supermarket_dataset_real_scene/Beverages/Beverages_0030.png
31,./data/supermarket_dataset_real_scene/Beverages/Beverages_0031.png
32,./data/supermarket_dataset_real_scene/Beverages/Beverages_0032.png
33,./data/supermarket_dataset_real_scene/Beverages/Beverages_0033.png
34,./data/supermarket_dataset_real_scene/Beverages/Beverages_0034.png
35,./data/supermarket_dataset_real_scene/Beverages/Beverages_0035.png
36,./data/supermarket_dataset_real_scene/Beverages/Beverages_0036.png
37,./data/supermarket_dataset_real_scene/Beverages/Beverages_0037.png
38,./data/supermarket_dataset_real_scene/Beverages/Beverages_0038.png
